protein_external_id	preferred_name	protein_size	annotation
287.DR97_1058	dctQ	212	annotation not available
287.DR97_1059	dctP5	331	C4-dicarboxylate-binding periplasmic protein; dctP: TRAP transporter solute receptor, DctP family protein
287.DR97_106	nirD	108	nirD_assim_sml: nitrite reductase [NAD(P)H], small subunit
287.DR97_1060	DR97_1060	275	annotation not available
287.DR97_1061	DR97_1061	400	annotation not available
287.DR97_1062	DR97_1062	450	annotation not available
287.DR97_1063	DR97_1063	126	Virulence protein STM3117
287.DR97_1064	DR97_1064	386	acyl-CoA dehydrogenase, N-terminal domain protein
287.DR97_1065	DR97_1065	275	N-terminal half of MaoC dehydratase family protein
287.DR97_1066	gltC_1	298	annotation not available
287.DR97_1067	DR97_1067	314	annotation not available
287.DR97_1068	DR97_1068	731	annotation not available
287.DR97_1069	DR97_1069	88	DUF2790 domain-containing protein
287.DR97_107	DR97_107	908	annotation not available
287.DR97_1070	tyrR1	519	annotation not available
287.DR97_1071	phhA	262	Phe4hydrox_mono: phenylalanine-4-hydroxylase
287.DR97_1072	phhB	118	annotation not available
287.DR97_1073	phhC	399	annotation not available
287.DR97_1074	pbpG	310	annotation not available
287.DR97_1075	arfB	137	annotation not available
287.DR97_1076	mliC	127	annotation not available
287.DR97_1077	aroP3	472	annotation not available
287.DR97_1078	hppD	357	4HPPD: 4-hydroxyphenylpyruvate dioxygenase
287.DR97_1079	DR97_1079	262	annotation not available
287.DR97_108	sumT	245	cobA_cysG_Cterm: uroporphyrinogen-III C-methyltransferase
287.DR97_1080	DR97_1080	57	Putative membrane protein; xapX: XapX domain protein
287.DR97_1081	DR97_1081	319	annotation not available
287.DR97_1082	DR97_1082	260	annotation not available
287.DR97_1083	DR97_1083	817	GGDEF: diguanylate cyclase domain protein
287.DR97_1084	DR97_1084	596	annotation not available
287.DR97_1085	DR97_1085	212	Conserved hypothetical protein
287.DR97_1086	glpE_2	312	annotation not available
287.DR97_1087	bolA	101	annotation not available
287.DR97_1088	DR97_1088	167	Uncharacterized protein
287.DR97_1089	DR97_1089	339	Uncharacterized protein
287.DR97_109	oprF	350	annotation not available
287.DR97_1090	fumC	464	Fumarate hydratase class II; Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate; Belongs to the class-II fumarase/aspartase family. Fumarase subfamily
287.DR97_1091	DR97_1091	207	annotation not available
287.DR97_1092	cbpD	389	annotation not available
287.DR97_1093	tdcB_1	320	annotation not available
287.DR97_1094	DR97_1094	139	annotation not available
287.DR97_1095	trxB1	316	TRX_reduct: thioredoxin-disulfide reductase; Belongs to the class-II pyridine nucleotide-disulfide oxidoreductase family
287.DR97_1096	DR97_1096	199	C-terminal domain of 1-Cys peroxiredoxin family protein
287.DR97_1097	DR97_1097	651	GGDEF: diguanylate cyclase domain protein
287.DR97_1098	cysZ	246	Sulfate transporter CysZ; High affinity, high specificity proton-dependent sulfate transporter, which mediates sulfate uptake. Provides the sulfur source for the cysteine synthesis pathway
287.DR97_1099	dcd2A	670	annotation not available
287.DR97_11	DR97_11	559	annotation not available
287.DR97_110	sigX	128	sigma70-ECF: RNA polymerase sigma factor, sigma-70 family protein
287.DR97_1100	plcH	730	PC_PLC: phospholipase C, phosphocholine-specific
287.DR97_1101	plcR	207	plc_access_R: phospholipase C accessory protein PlcR
287.DR97_1102	DR97_1102	406	annotation not available
287.DR97_1103	DR97_1103	319	DegV domain-containing protein XAC3508
287.DR97_1104	DR97_1104	370	Uncharacterized protein; NADH:flavin oxidoreductase / NADH oxidase family protein
287.DR97_1105	DR97_1105	196	annotation not available
287.DR97_1106	btuE	160	annotation not available
287.DR97_1107	slyD	161	annotation not available
287.DR97_1108	ackA1	394	Acetate kinase; Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction; Belongs to the acetokinase family
287.DR97_1109	pta	704	Phosphate acetyltransferase; Involved in acetate metabolism; In the N-terminal section; belongs to the CobB/CobQ family
287.DR97_111	cmpX	274	annotation not available
287.DR97_1110	DR97_1110	304	annotation not available
287.DR97_1111	yiaD_1	237	annotation not available
287.DR97_1112	ycbL	213	annotation not available
287.DR97_1113	oruR	339	annotation not available
287.DR97_1114	DR97_1114	277	annotation not available
287.DR97_1115	DR97_1115	313	annotation not available
287.DR97_1116	DR97_1116	227	annotation not available
287.DR97_1117	DR97_1117	292	Uncharacterized protein
287.DR97_1119	DR97_1119	602	annotation not available
287.DR97_112	crfX	82	annotation not available
287.DR97_1120	DR97_1120	263	TIGR04255 family protein; sporadTIGR04255: TIGR04255 family protein
287.DR97_1121	DR97_1121	211	annotation not available
287.DR97_1122	DR97_1122	280	annotation not available
287.DR97_1123	DR97_1123	214	Transposon Tn552 resolvase; Resolvase, N terminal domain protein
287.DR97_1124	DR97_1124	139	annotation not available
287.DR97_1125	DR97_1125	198	annotation not available
287.DR97_1126	DR97_1126	318	annotation not available
287.DR97_1127	DR97_1127	158	annotation not available
287.DR97_1128	DR97_1128	242	annotation not available
287.DR97_1129	DR97_1129	181	Uncharacterized protein
287.DR97_113	cmaX	332	annotation not available
287.DR97_1130	DR97_1130	87	annotation not available
287.DR97_1131	DR97_1131	280	annotation not available
287.DR97_1132	DR97_1132	161	Conserved hypothetical protein
287.DR97_1133	DR97_1133	369	Uncharacterized protein
287.DR97_1134	DR97_1134	602	Uncharacterized protein
287.DR97_1135	DR97_1135	818	annotation not available
287.DR97_1136	DR97_1136	496	Uncharacterized protein
287.DR97_1137	DR97_1137	1130	annotation not available
287.DR97_1138	DR97_1138	467	annotation not available
287.DR97_1139	PACL_0292	230	annotation not available
287.DR97_114	menG	162	4-hydroxy-4-methyl-2-oxoglutarate aldolase; Catalyzes the aldol cleavage of 4-hydroxy-4-methyl-2- oxoglutarate (HMG) into 2 molecules of pyruvate. Also contains a secondary oxaloacetate (OAA) decarboxylase activity due to the common pyruvate enolate transition state formed following C-C bond cleavage in the retro-aldol and decarboxylation reactions
287.DR97_1140	PACL_0293	223	annotation not available
287.DR97_1141	DR97_1141	448	annotation not available
287.DR97_1142	DR97_1142	298	Conserved hypothetical protein
287.DR97_1143	PACL_0296	575	annotation not available
287.DR97_1144	PACL_0297	395	annotation not available
287.DR97_1145	PACL_0298	527	annotation not available
287.DR97_1146	DR97_1146	709	annotation not available
287.DR97_1147	DR97_1147	1126	annotation not available
287.DR97_1148	DR97_1148	493	annotation not available
287.DR97_1149	PACL_0302	328	Uncharacterized protein
287.DR97_115	estX	336	annotation not available
287.DR97_1150	DR97_1150	55	Uncharacterized protein
287.DR97_1151	DR97_1151	509	annotation not available
287.DR97_1152	DR97_1152	373	annotation not available
287.DR97_1153	DR97_1153	288	Uncharacterized protein; hisJ_fam: histidinol phosphate phosphatase, HisJ family protein
287.DR97_1154	DR97_1154	342	Radical SAM domain-containing protein
287.DR97_1155	PACL_0309	317	Uncharacterized protein
287.DR97_1156	DR97_1156	256	annotation not available
287.DR97_1157	DR97_1157	32	annotation not available
287.DR97_1158	DR97_1158	47	annotation not available
287.DR97_1159	PACL_0312	269	annotation not available
287.DR97_116	ppsA	791	Phosphoenolpyruvate synthase; Catalyzes the phosphorylation of pyruvate to phosphoenolpyruvate; Belongs to the PEP-utilizing enzyme family
287.DR97_1160	PACL_0313	209	annotation not available
287.DR97_1161	DR97_1161	273	annotation not available
287.DR97_1162	DR97_1162	102	annotation not available
287.DR97_1163	DR97_1163	231	Conserved hypothetical protein
287.DR97_1164	DR97_1164	90	Putative membrane protein
287.DR97_1165	DR97_1165	141	annotation not available
287.DR97_1166	DR97_1166	317	annotation not available
287.DR97_1167	DR97_1167	294	annotation not available
287.DR97_1168	DR97_1168	144	annotation not available
287.DR97_1169	DR97_1169	415	annotation not available
287.DR97_117	ydiA	272	Putative phosphoenolpyruvate synthase regulatory protein; Bifunctional serine/threonine kinase and phosphorylase involved in the regulation of the phosphoenolpyruvate synthase (PEPS) by catalyzing its phosphorylation/dephosphorylation
287.DR97_1170	DR97_1170	431	Uncharacterized protein
287.DR97_1171	DR97_1171	415	annotation not available
287.DR97_1172	dehII	233	HAD_type_II: haloacid dehalogenase, type II
287.DR97_1173	mntH2	438	Divalent metal cation transporter MntH; H(+)-stimulated, divalent metal cation uptake system
287.DR97_1174	DR97_1174	157	Polyketide cyclase
287.DR97_1175	amiD_2	255	annotation not available
287.DR97_1176	DR97_1176	131	annotation not available
287.DR97_1177	DR97_1177	75	Uncharacterized protein
287.DR97_1178	yeaE	273	annotation not available
287.DR97_1179	DR97_1179	146	annotation not available
287.DR97_118	DR97_118	179	annotation not available
287.DR97_1180	DR97_1180	107	Putative membrane protein
287.DR97_1181	DR97_1181	506	annotation not available
287.DR97_1182	DR97_1182	98	Conserved hypothetical protein
287.DR97_1183	DR97_1183	773	Putative helicase; SNF2 family N-terminal domain protein
287.DR97_1184	pmtA	203	annotation not available
287.DR97_1185	csiR_1	240	annotation not available
287.DR97_1186	prpB	298	2-methylisocitrate lyase; Catalyzes the thermodynamically favored C-C bond cleavage of (2R,3S)-2-methylisocitrate to yield pyruvate and succinate; Belongs to the isocitrate lyase/PEP mutase superfamily. Methylisocitrate lyase family
287.DR97_1187	prpC	375	cit_synth_II: 2-methylcitrate synthase/citrate synthase II family protein; Belongs to the citrate synthase family
287.DR97_1188	acnD	868	Aconitate hydratase; 2met_isocit_dHY: 2-methylisocitrate dehydratase, Fe/S-dependent
287.DR97_1189	prpF	395	prpF: putative AcnD-accessory protein PrpF
287.DR97_119	DR97_119	508	annotation not available
287.DR97_1190	DR97_1190	262	annotation not available
287.DR97_1191	prpD	494	prpD: 2-methylcitrate dehydratase
287.DR97_1192	DR97_1192	271	annotation not available
287.DR97_1193	ytnA	471	annotation not available
287.DR97_1194	DR97_1194	67	Putative secreted protein
287.DR97_1195	DR97_1195	997	annotation not available
287.DR97_1196	DR97_1196	387	annotation not available
287.DR97_1197	sugE_1	101	annotation not available
287.DR97_1198	azoR1	212	FMN-dependent NADH-azoreductase; Catalyzes the reductive cleavage of azo bond in aromatic azo compounds to the corresponding amines. Requires NADH, but not NADPH, as an electron donor for its activity
287.DR97_1199	DR97_1199	305	annotation not available
287.DR97_12	DR97_12	216	annotation not available
287.DR97_120	DR97_120	327	annotation not available
287.DR97_1200	putP	506	na_Pro_sym: sodium/proline symporter; Belongs to the sodium:solute symporter (SSF) (TC 2.A.21) family
287.DR97_1201	putA	1060	Bifunctional protein PutA; Oxidizes proline to glutamate for use as a carbon and nitrogen source; In the C-terminal section; belongs to the aldehyde dehydrogenase family
287.DR97_1202	DR97_1202	687	annotation not available
287.DR97_1203	pruR	250	annotation not available
287.DR97_1204	lon2	799	Lon protease; ATP-dependent serine protease that mediates the selective degradation of mutant and abnormal proteins as well as certain short-lived regulatory proteins. Required for cellular homeostasis and for survival from DNA damage and developmental changes induced by stress. Degrades polypeptides processively to yield small peptide fragments that are 5 to 10 amino acids long. Binds to DNA in a double-stranded, site-specific manner
287.DR97_1205	icp	134	annotation not available
287.DR97_1206	DR97_1206	250	annotation not available
287.DR97_1207	DR97_1207	190	Uncharacterized protein
287.DR97_1208	cmoA	246	Carboxy-S-adenosyl-L-methionine synthase; Catalyzes the conversion of S-adenosyl-L-methionine (SAM) to carboxy-S-adenosyl-L-methionine (Cx-SAM)
287.DR97_1209	cmoB	322	tRNA U34 carboxymethyltransferase; Catalyzes carboxymethyl transfer from carboxy-S- adenosyl-L-methionine (Cx-SAM) to 5-hydroxyuridine (ho5U) to form 5-carboxymethoxyuridine (cmo5U) at position 34 in tRNAs
287.DR97_121	DR97_121	395	annotation not available
287.DR97_1210	pdxJ	248	Pyridoxine 5'-phosphate synthase; Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate
287.DR97_1211	recO	233	DNA repair protein RecO; Involved in DNA repair and RecF pathway recombination
287.DR97_1212	era	305	GTPase Era; An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism
287.DR97_1213	rnc	229	Ribonuclease 3; Digests double-stranded RNA. Involved in the processing of primary rRNA transcript to yield the immediate precursors to the large and small rRNAs (23S and 16S). Processes some mRNAs, and tRNAs when they are encoded in the rRNA operon. Processes pre- crRNA and tracrRNA of type II CRISPR loci if present in the organism
287.DR97_1214	DR97_1214	125	DUF4845 domain-containing protein
287.DR97_1215	lepB_1	284	sigpep_I_bact: signal peptidase I; Belongs to the peptidase S26 family
287.DR97_1216	lepA	599	Elongation factor 4; Required for accurate and efficient protein synthesis under certain stress conditions. May act as a fidelity factor of the translation reaction, by catalyzing a one-codon backward translocation of tRNAs on improperly translocated ribosomes. Back- translocation proceeds from a post-translocation (POST) complex to a pre-translocation (PRE) complex, thus giving elongation factor G a second chance to translocate the tRNAs correctly. Binds to ribosomes in a GTP-dependent manner
287.DR97_1217	mucD	474	Periplasmic serine endoprotease DegP-like; degP_htrA_DO: peptidase Do family protein; Belongs to the peptidase S1C family
287.DR97_1218	mucC	151	annotation not available
287.DR97_1219	mucB	316	annotation not available
287.DR97_122	fadL_1	532	annotation not available
287.DR97_1220	mucA	194	Sigma factor AlgU negative regulatory protein; Anti sigma-E RseA, N-terminal domain protein
287.DR97_1221	algU	193	rpoE_Sigma70: RNA polymerase sigma factor RpoE; Belongs to the sigma-70 factor family. ECF subfamily
287.DR97_1222	DR97_1222	150	Uncharacterized protein
287.DR97_1223	nadB	538	L-aspartate oxidase; Catalyzes the oxidation of L-aspartate to iminoaspartate
287.DR97_1224	cptB	84	annotation not available
287.DR97_1225	ygfZ	314	annotation not available
287.DR97_1226	DR97_1226	278	annotation not available
287.DR97_1227	DR97_1227	460	annotation not available
287.DR97_1228	DR97_1228	223	annotation not available
287.DR97_1229	opdH	427	annotation not available
287.DR97_123	DR97_123	341	annotation not available
287.DR97_1230	DR97_1230	325	annotation not available
287.DR97_1231	DR97_1231	156	annotation not available
287.DR97_1232	DR97_1232	505	annotation not available
287.DR97_1233	DR97_1233	345	Uncharacterized protein; gneg_AbrB_dup: membrane AbrB duplication domain protein
287.DR97_1234	ung	231	Uracil-DNA glycosylase; Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
287.DR97_1235	DR97_1235	273	annotation not available
287.DR97_1236	DR97_1236	293	annotation not available
287.DR97_1237	mmsA3	502	MMSDH: methylmalonate-semialdehyde dehydrogenase
287.DR97_1238	Acad8	387	Isobutyryl-CoA dehydrogenase, mitochondrial; acyl-CoA dehydrogenase, N-terminal domain protein
287.DR97_1239	DR97_1239	272	annotation not available
287.DR97_124	DR97_124	253	annotation not available
287.DR97_1240	DR97_1240	367	annotation not available
287.DR97_1241	DR97_1241	298	HIBADH: 3-hydroxyisobutyrate dehydrogenase
287.DR97_1242	DR97_1242	214	annotation not available
287.DR97_1243	ywnB	213	annotation not available
287.DR97_1244	BDS1	658	annotation not available
287.DR97_1245	sdsB3	304	annotation not available
287.DR97_1246	DR97_1246	62	annotation not available
287.DR97_1247	DR97_1247	81	Conserved hypothetical protein
287.DR97_1248	DR97_1248	151	Uncharacterized protein
287.DR97_1249	DR97_1249	57	annotation not available
287.DR97_125	DR97_125	145	Uncharacterized protein
287.DR97_1250	DR97_1250	358	Uncharacterized protein
287.DR97_1251	DR97_1251	271	DUF4824 domain-containing protein
287.DR97_1252	DR97_1252	70	annotation not available
287.DR97_1253	rsuA	230	annotation not available
287.DR97_1254	DR97_1254	347	annotation not available
287.DR97_1255	DR97_1255	245	annotation not available
287.DR97_1256	phaG	300	annotation not available
287.DR97_1258	DR97_1258	617	annotation not available
287.DR97_1259	DR97_1259	208	annotation not available
287.DR97_126	DR97_126	907	annotation not available
287.DR97_1260	ahdIC	99	annotation not available
287.DR97_1261	DR97_1261	616	Uncharacterized protein; ICE_TraI_Pfluor: integrating conjugative element relaxase, PFGI-1 class
287.DR97_1262	DR97_1262	306	Nucleotidyl transferase AbiEii/AbiGii toxin family protein
287.DR97_1263	DR97_1263	252	Uncharacterized protein
287.DR97_1264	DR97_1264	122	Conserved hypothetical protein
287.DR97_1265	DR97_1265	507	traG-like , N-terminal region family protein
287.DR97_1266	DR97_1266	117	Uncharacterized protein
287.DR97_1267	DR97_1267	468	Integrating conjugative element protein, PFL_4711 family; conj_TIGR03755: integrating conjugative element protein, PFL_4711 family
287.DR97_1268	DR97_1268	314	annotation not available
287.DR97_1269	DR97_1269	149	Integrating conjugative element protein, family
287.DR97_127	DR97_127	856	annotation not available
287.DR97_1270	DR97_1270	164	Radc: DNA repair RadC family protein; Belongs to the UPF0758 family
287.DR97_1271	DR97_1271	247	annotation not available
287.DR97_1272	DR97_1272	962	Uncharacterized protein; Conjugative transfer ATPase, PFL_4706 family; traC_PFL_4706: conjugative transfer ATPase, PFL_4706 family
287.DR97_1273	DR97_1273	144	TIGR03751 family conjugal transfer lipoprotein
287.DR97_1274	DR97_1274	477	Integrating conjugative element protein
287.DR97_1275	DR97_1275	304	DUF3438 domain-containing protein
287.DR97_1276	DR97_1276	230	Integrating conjugative element protein
287.DR97_1277	DR97_1277	136	Conserved hypothetical protein
287.DR97_1278	DR97_1278	123	Conserved hypothetical protein
287.DR97_1279	DR97_1279	79	Integrating conjugative element protein
287.DR97_128	pabB	453	pabB: aminodeoxychorismate synthase, component I
287.DR97_1280	DR97_1280	121	Raqprd family integrative conjugative element protein
287.DR97_1281	DR97_1281	66	Excise: DNA binding , excisionase family domain protein
287.DR97_1282	DR97_1282	959	annotation not available
287.DR97_1283	DR97_1283	328	annotation not available
287.DR97_1284	DR97_1284	781	annotation not available
287.DR97_1285	DR97_1285	596	annotation not available
287.DR97_1286	DR97_1286	565	annotation not available
287.DR97_1287	DR97_1287	911	annotation not available
287.DR97_1288	DR97_1288	875	DNA repair protein; recF/RecN/SMC N terminal domain protein
287.DR97_1289	DR97_1289	249	Integrating conjugative element membrane protein
287.DR97_129	thrH	205	HSK-PSP: phosphoserine phosphatase/homoserine phosphotransferase bifunctional protein
287.DR97_1290	DR97_1290	718	Uncharacterized protein; conj_TOL_TraD: conjugative coupling factor TraD, PFGI-1 class
287.DR97_1291	DR97_1291	177	Integrating conjugative element , PFL_4695 family domain protein; ICE_PFL_4695: integrating conjugative element , PFL_4695 family domain protein
287.DR97_1292	DR97_1292	206	annotation not available
287.DR97_1293	DR97_1293	239	annotation not available
287.DR97_1294	DR97_1294	215	Uncharacterized protein
287.DR97_1295	DR97_1295	189	annotation not available
287.DR97_1296	DR97_1296	757	SNF2 family N-terminal domain protein
287.DR97_1297	DR97_1297	101	annotation not available
287.DR97_1298	DR97_1298	369	annotation not available
287.DR97_1299	DR97_1299	216	Uncharacterized protein
287.DR97_13	modA	251	modA: molybdate ABC transporter, periplasmic molybdate-binding protein
287.DR97_130	cysH	244	Phosphoadenosine phosphosulfate reductase; Reduction of activated sulfate into sulfite; Belongs to the PAPS reductase family. CysH subfamily
287.DR97_1300	DR97_1300	121	Conserved hypothetical protein
287.DR97_1301	DR97_1301	203	DUF3275 domain-containing protein
287.DR97_1302	DR97_1302	183	DUF3577 domain-containing protein
287.DR97_1303	DR97_1303	121	DUF3085 domain-containing protein
287.DR97_1304	DR97_1304	265	GTPase
287.DR97_1305	DR97_1305	238	ABC transporter substrate-binding protein
287.DR97_1306	DR97_1306	130	Uncharacterized protein
287.DR97_1307	DR97_1307	78	Uncharacterized protein
287.DR97_1308	DR97_1308	671	topB: DNA topoisomerase III family protein
287.DR97_1309	DR97_1309	244	annotation not available
287.DR97_131	DR97_131	115	Uncharacterized protein
287.DR97_1310	DR97_1310	127	annotation not available
287.DR97_1311	DR97_1311	182	Uncharacterized protein
287.DR97_1312	DR97_1312	262	Integrating conjugative element protein
287.DR97_1313	DR97_1313	250	annotation not available
287.DR97_1314	DR97_1314	397	Uncharacterized protein
287.DR97_1315	DR97_1315	186	DUF2857 domain-containing protein
287.DR97_1316	DR97_1316	547	annotation not available
287.DR97_1317	DR97_1317	78	Conserved hypothetical protein
287.DR97_1318	DR97_1318	288	annotation not available
287.DR97_1319	DR97_1319	72	annotation not available
287.DR97_132	cysB	324	annotation not available
287.DR97_1320	DR97_1320	252	annotation not available
287.DR97_1321	DR97_1321	302	annotation not available
287.DR97_1322	DR97_1322	50	annotation not available
287.DR97_1323	DR97_1323	58	annotation not available
287.DR97_1324	coxA2	125	annotation not available
287.DR97_1325	DR97_1325	189	annotation not available
287.DR97_1326	clpB5	949	annotation not available
287.DR97_1327	DR97_1327	476	Cardiolipin synthetase; Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol
287.DR97_1328	ftsH3	609	ATP-dependent zinc metalloprotease FtsH; Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins; Belongs to the AAA ATPase family
287.DR97_1329	hspA	152	annotation not available
287.DR97_133	DR97_133	165	annotation not available
287.DR97_1330	DR97_1330	304	annotation not available
287.DR97_1331	DR97_1331	295	annotation not available
287.DR97_1332	DR97_1332	203	Conserved hypothetical protein
287.DR97_1333	DR97_1333	381	Uncharacterized protein
287.DR97_1334	DR97_1334	146	Thioredoxin: thioredoxin
287.DR97_1335	DR97_1335	571	annotation not available
287.DR97_1336	DR97_1336	143	annotation not available
287.DR97_1337	DR97_1337	321	annotation not available
287.DR97_1338	DEGP1	383	annotation not available
287.DR97_1339	DR97_1339	302	annotation not available
287.DR97_134	DR97_134	315	2-dehydropantoate 2-reductase; Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid
287.DR97_1340	DR97_1340	241	annotation not available
287.DR97_1341	DR97_1341	52	Conserved hypothetical protein
287.DR97_1342	DR97_1342	351	portal_PBSX: phage portal protein, PBSX family
287.DR97_1343	DR97_1343	593	annotation not available
287.DR97_1344	DR97_1344	273	annotation not available
